set,id,before,after,infinitive,tense,correct,translation,level
1,1,Este verano nosotros,muy poco tiempo libre.,tener,futuro simple,tendremos,to have,B1
1,2,Estoy segura de que ella,la mesa en el {salón|living room}.,poner,futuro simple,pondrá,to put,B1
1,3,Mañana yo,de casa muy temprano.,salir,futuro simple,saldré,to leave,B1
1,4,El próximo mes ellos,a visitarnos.,venir,futuro simple,vendrán,to come,B1
1,5,Nadie sabe qué,el jefe sobre el {cambio|change}.,decir,futuro simple,dirá,to say,B1
2,1,Con esfuerzo tú,resolver el problema.,poder,futuro simple,podrás,to be able to,B1
2,2,Estoy convencido de que vosotros,la respuesta correcta.,saber,futuro simple,sabréis,to know,B1
2,3,Ella,quedarse un poco más.,querer,futuro simple,querrá,to want,B1
2,4,Para el viernes ya,terminado el {informe|report}.,haber,futuro simple,habré,to have (aux.),B1
2,5,Con esa receta la cena,deliciosa.,estar,futuro simple,estará,to be,B1
