set,id,before,after,hint,correct,translation,level
1,1,El {perro|dog} es,.,pequeño,pequeño,small,A1
1,2,La {mesa|table} es,.,pequeño,pequeña,small,A1
1,3,Los {coches|cars} son,.,nuevo,nuevos,new,A1
1,4,Las {camisas|shirts} son,.,nuevo,nuevas,new,A1
1,5,Este problema es muy,.,serio,serio,serious,A1
2,1,Esta {situación|situation} es muy,.,serio,seria,serious,A1
2,2,Los {chicos|guys} están,.,cansado,cansados,tired,A1
2,3,Las {chicas|girls} están,.,cansado,cansadas,tired,A1
2,4,El {cielo|sky} está,.,despejado,despejado,clear,A1
2,5,Las {calles|streets} están,.,despejado,despejadas,clear,A1
3,1,La {luna|moon},es muy bonita.,lleno,llena,full,A1
3,2,Los tomates,están muy ricos.,fresco,frescos,fresh,A1
3,3,El {pimiento|pepper},es rojo. ,picante,picante,spicy,A1
3,4,Las {calles|streets}  ,brillan por la noche. ,mojada,mojadas,wet,A1
3,5,Todas las {bicicletas|bikes},cuestan 20 euros. ,azul,azules,blue,A1
4,1,Su madre tiene los {ojos|eyes},.,claro,claros,clear,A1
4,2,Es una niña muy,.,tímido,tímida,shy,A1
4,3,Yo vivo en una calle,y bonita. ,ancho,ancha,wide,A1
4,4,Ella es de nacionalidad,.,español,española,Spanish,A1
4,5,Me gusta el {vino|wine},.,blanco,blanco,white,A1
5,1,Él {escucha|to listen} una {canción|song},.,moderno,moderna,modern,A1
5,2,Los ejercicios de francés son,.,fácil,fáciles,easy,A1
5,3,Yo leo muchos {periódicos|newspapers},.,marroquí,marroquíes,Moroccan,A1
5,4,Yo le escribo una {postal|postcard},.,divertido,divertida,funny,A1
5,5,Luisa vive en un {piso|apartment} muy,.,céntrico,céntrico,downtown,A1
6,1,La {gata|cat} de Sara es ,.,dócil,dócil,docile,A1
6,2,Ella tiene un médico,.,nuevo,nuevo,new,A1
6,3,Los {pantalones|pants},son muy bonitos. ,rojo,rojos,red,A1
6,4,En el {cuento|tale} hay una {reina|queen},.,mal,mala,bad,A1
6,5,Me gustan las {playas|beaches},del Norte. ,limpio,limpias,clean,A1
1,1,Ana lleva el {pelo|hair},.,rizado,rizado,curly,A2
1,2,¿Dónde viven los {maestros|teachers},que tenemos?,nuevo,nuevos,new,A2
1,3,Para comer él quiere una pizza,.,grande,grande,big,A2
1,4,Le duele una {muela|molar tooth},.,delantero,delantera,front,A2
1,5,Llevo mi {paraguas|umbrella},porque llueve. ,colorido,colorido,colorful,A2
2,1,Para {bailar|to dance} ballet me gusta la música,.,clásico,clásica,classical,A2
2,2,{Necesito|to need} agua,para {cocinar|to cook} el {arroz|rice}. ,caliente,caliente,hot,A2
2,3,Candela {toca|to play} el piano y {canta|to sing} con una {voz|voice} muy,.,potente,potente,powerful,A2
2,4,Era un {lago|lake} de aguas,.,transparente,transparentes,transparent,A2
2,5,El {aula|classroom},es perfecta para {conferencias|conferences}. ,magno,magna,great,A2
3,1,Es un {barrio|neighborhood},para vivir {tranquilos|quiet}. ,agradable,agradable,nice,A2
3,2,{Anoche|lat night} había una {luna|moon},en el cielo. ,brillante,brillante,shiny,A2
3,3,El {ave|bird},vuela alto. ,rapaz,rapaz,prey bird,A2
3,4,Mis {sobrinos|nephews} viven en una,ciudad con muchos {árboles|trees}. ,lindo,linda,beautiful,A2
3,5,La {semana|week},fui al cine. ,pasado,pasada,past,A2
4,1,Esta {tarta|cake} es tan ,como la de chocolate. ,dulce,dulce,sweet,A2
4,2,Era un {cliente|client} ,.,ejemplar,ejemplar,modelo,A2
4,3,Me gusta {caminar|to walk} por la calle,.,peatonal,peatonal,pedestrian street,A2
4,4,La {chica|girl} que estaba en el fiesta es la {hija|daugther},de María. ,menor,menor,youngest,A2
4,5,Su padre es una persona,y amable. ,generoso,generosa,generous,A2
5,1,Mateo hizo uno {dibujos|drawings},en la clase de arte. ,precioso,preciosos,beautiful,A2
5,2,Estos {senderos|paths} son,que los de ayer. ,mejor,mejores,better,A2
5,3,Este {tema|theme} es más ,que el tema de ayer. ,sencillo,sencillo,simple,A2
5,4,Esta {bebida|beverage} es,fría que caliente. ,peor,peor ,worse,A2
5,5,Ellos viven ahora en una {ciudad|citty} muy,.,industrial,industrial,industrial,A2
6,1,Había unas veinte {flores|flowers},en el jardín. ,amarillo,amarillas,yellow,A2
6,2,Su {jefa|boss} era una {arquitecta|architect} muy,.,exigente,exigente,demanding,A2
6,3,No me gustan nada las {comidas|foods},.,pesado,pesadas,heavy,A2
6,4,Las {hojas|leaves} de estos árboles son,en la {parte alta|upper part}. ,mayor,mayores,bigger,A2
6,5,Este {palo|stick} es menos,que este otro. ,resistente,resistente,resistant,A2
1,1,Cuando viajo me gusta comer las comidas,del país. ,tradicional,tradicionales,traditional,B1
1,2,"Tienes que poner el {lavavajillas|dishwasher}, los platos",están en el {fregadero|sink}. ,sucio,sucios,dirty,B1
1,3,El {partido|mathc} de ayer fue un ,partido.,grande,gran,big,B1
1,4,Manuel tuvo muy ,{actitud|attitude} durante el partido. ,malo,mala,bad,B1
1,5,Aquellas fueron las ,{tormentas|storms} de mi vida. ,peor,peores,worst,B1
2,1,{Aliñó|dress} la ensalada con ese vinagre,que no gustaba a nadie. ,agrio,agrio,sour,B1
2,2,Llegó del {campamento|camp} con las {rodillas|knees},.,magullado,magulladas,bruised,B1
