set,id,before,after,infinitive,tense,correct,translation,level
1,1,Mañana yo,con mis {compañeros|classmates} sobre el proyecto.,hablar,futuro simple,hablaré,to speak,B1
1,2,El próximo verano nosotros,en la playa dos semanas.,viajar,futuro simple,viajaremos,to travel,B1
1,3,Cuando llegue el invierno tú,mucho frío.,pasar,futuro simple,pasarás,to spend (time),B1
1,4,Estoy segura de que ellos,el examen sin problema.,aprobar,futuro simple,aprobarán,to pass,B1
1,5,Si sigues así,muy pronto el proyecto.,terminar,futuro simple,terminarás,to finish,B1
2,1,El año que viene vosotros,una nueva casa.,comprar,futuro simple,compraréis,to buy,B1
2,2,Para su cumpleaños yo le,un regalo especial.,regalar,futuro simple,regalaré,to gift,B1
2,3,Con este calor las plantas,mucha {agua|water}.,necesitar,futuro simple,necesitarán,to need,B1
2,4,Después de la reunión nosotros,el informe juntos.,revisar,futuro simple,revisaremos,to review,B1
2,5,Estoy convencido de que ella,el {puesto|position}.,conseguir,futuro simple,conseguirá,to get,B1
