set,id,before,after,hint,gender,number,correct,level
1,1,El {perro|dog} es,.,pequeño,singular,masculino,pequeño,A1
1,2,La {mesa|table} es,.,pequeño,singular,femenino,pequeña,A1
1,3,Los {coches|cars} son,.,nuevo,plural,masculino,nuevos,A1
1,4,Las {camisas|shirts} son,.,nuevo,plural,femenino,nuevas,A1
1,5,Este problema es muy,.,serio,singular,masculino,serio,A1
2,1,Esta {situación|situation} es muy,.,serio,singular,femenino,seria,A1
2,2,Los {chicos|guys} están,.,cansado,plural,masculino,cansados,A1
2,3,Las {chicas|girls} están,.,cansado,plural,femenino,cansadas,A1
2,4,El {cielo|sky} está,.,despejado,singular,masculino,despejado,A1
2,5,Las {calles|streets} están,.,despejado,plural,femenino,despejadas,A1
3,1,La {luna|moon},es muy bonita.,lleno,singular,femenino,llena,A1
3,2,Los tomates,están muy ricos.,fresco,plural,masculino,frescos,A1
3,3,El {pimiento|pepper},es rojo. ,picante,singular,masculino,picante,A1
3,4,Las {calles|streets}  ,brillan por la noche. ,mojada,plural,femenino,mojadas,A1
3,5,Todas las {bicicletas|bikes},cuestan 20 euros. ,azul,plural,femenino,azules,A1
4,1,Su madre tiene los {ojos|eyes},.,claro,plural,masculino,claros,A1
4,2,Es una niña muy,.,tímido,singular,femenino,tímida,A1
4,3,Yo vivo en una calle,y bonita. ,ancho,singular,femenino,ancha,A1
4,4,Ella es de nacionalidad,.,español,singular,femenino,española,A1
4,5,Me gusta el {vino|wine},.,blanco,singular,masculino,blanco,A1
5,1,Él {escucha|to listen} una {canción|song},.,moderno,singular,femenino,moderna,A1
5,2,Los ejercicios de francés son,.,fácil,plural,masculino,fáciles,A1
5,3,Yo leo muchos {periódicos|newspapers},.,marroquí,plural,masculino,marroquíes,A1
5,4,Yo le escribo una {postal|postcard},.,divertido,singular,femenino,divertida,A1
5,5,Luisa vive en un {piso|apartment} muy,.,céntrico,singular,masculino,céntrico,A1
6,1,La {gata|cat} de Sara es ,.,dócil,singular,femenino,dócil,A1
6,2,Ella tiene un médico,.,nuevo,singular,masculino,nuevo,A1
6,3,Los {pantalones|pants},son muy bonitos. ,rojo,plural,masculino,rojos,A1
6,4,En el {cuento|tale} hay una {reina|queen},.,mal,singular,femenino,mala,A1
6,5,Me gustan las {playas|beaches},del Norte. ,limpio,plural,femenino,limpias,A1
7,1,El {chico|boy},.,alto ,singular,masculino,alto,A1
7,2,Las {mujeres|women} ,.,francés,plural,femenino,francesas,A1
7,3,La {solución|solution},.,fácil,singular,femenino,fácil,A1
7,4,Los {niños|children} ,.,rubio,plural,masculino,rubios,A1
7,5,La {tarde|afternoon},.,oscuro,singular,femenino,oscura,A1
8,1,La {taza|cup},.,rojo,singular,femenino,roja,A1
8,2,El {árbol|tree},.,joven,singular,masculino,joven,A1
8,3,Los {zapatos|shoes},.,nuevo,plural,masculino,nuevos,A1
8,4,Las {ventanas|windows},.,limpio,plural,femenino,limpias,A1
8,5,El {guante|glove},.,viejo,singular,masculino,viejo,A1
9,1,Los {pisos|apartments},tienen muchas {ventanas|windows}.,exterior,plural,masculino,exteriores,A1
9,2,Las {niñas|girls} ,{comen|to eat} la {merienda|afternoon snack}.,alegre,plural,femenino,alegres,A1
9,3,La {profesora|teacher},{sabe|to know} muchos {idiomas|languages}. ,argentino,singular,femenino,argentina,A1
9,4,Sus {amigos|friends} ,son muy {divertidos|funny}. ,extranjero,plural,masculino,extranjeros,A1
9,5,Las {sillas|chairs} ,son para el {jardín|garden}. ,nuevo,plural,femenino,nuevas,A1
10,1,Los {exámenes|exams},son muy {duros|hard}. ,difícil,plural,masculino,difíciles,A1
10,2,Ella es una {actriz|actress} muy,.,guapo,singular,femenino,guapa,A1
10,3,Los {árboles|trees} del {bosque|forest} son,.,alto,plural,masculino,altos,A1
10,4,Me {gusta|like} el {portero|goalei},del {equipo|team}. ,fuerte,singular,masculino,fuerte,A1
10,5,El {cuaderno|notebook},está en la {mesa|table}. ,azul,singular,masculino,azul,A1
11,1,Una casa,es {mejor|better}. ,amplio,singular,femenino,amplia,A1
11,2,Las {noches|nights},son {buenas|good}. ,tranquilo,plural,femenino,tranquilas,A1
11,3,La {vecina|neighbor} ,es muy {simpática|friendly}. ,ruso,singular,femenino,rusa,A1
11,4,La {moto|motorbike},va muy bien. ,rojo,singular,femenino,roja,A1
11,5,Las {paredes|wall} ,me gustan. ,alto,plural,femenino,altas,A1
12,1,Él {vive|live} en {países|country},.,distinto,plural,masculino,distintos,A1
12,2,La mesa tiene {tenedores|forks},.,dorado,plural,femenino,dorados,A1
12,3,La radio de mi abuelo es ,.,antiguo,singular,femenino,antigua,A1
12,4,Yo quiero un peine,.,nuevo,singular,masculino,nuevo,A1
12,5,Todas son soluciones,.,fácil,plural,femenino,fáciles,A1
1,1,Ana lleva el {pelo|hair},.,rizado,singular,masculino,rizado,A2
1,2,¿Dónde viven los {maestros|teachers},que tenemos?,nuevo,singular,masculino,nuevo,A2
1,3,Para comer él quiere una pizza,.,grande,singular,femenino,grande,A2
1,4,Le duele una {muela|molar tooth},.,delantero,singular,femenino,delantera,A2
1,5,Llevo mi {paraguas|umbrella},porque llueve. ,colorido,singular,masculino,colorido,A2
2,1,Para {bailar|to dance} ballet me gusta la música,.,clásico,singular,femenino,clásica,A2
2,2,{Necesito|to need} agua,para {cocinar|to cook} el {arroz|rice}. ,caliente,singular,femenino,caliente,A2
2,3,Candela {toca|to play} el piano y {canta|to sing} con una {voz|voice} muy,.,potente,singular,femenino,potente,A2
2,4,Era un {lago|lake} de aguas,.,transparente,plural,femenino,transparentes,A2
2,5,El {aula|classroom},es perfecta para {conferencias|conferences}. ,magno,singular,femenino,magna,A2
3,1,Es un {barrio|neighborhood},para vivir {tranquilos|quiet}. ,agradable,singular,masculino,agradable,A2
3,2,{Anoche|lat night} había una {luna|moon},en el cielo. ,brillante,singular,femenino,brillante,A2
3,3,El {ave|bird},vuela alto. ,rapaz,singular,femenino,rapaz,A2
3,4,Mis {sobrinos|nephews} viven en una,ciudad con muchos {árboles|trees}. ,lindo,singular,femenino,linda,A2
3,5,La {semana|week},fui al cine. ,pasado,singular,femenino,pasada,A2
4,1,Esta {tarta|cake} es tan ,como la de chocolate. ,dulce,singular,femenino,dulce,A2
4,2,Era un {cliente|client} ,.,ejemplar,singular,masculino,ejemplar,A2
4,3,Me gusta {caminar|to walk} por la calle,.,peatonal,singular,femenino,peatonal,A2
4,4,La {chica|girl} que estaba en el fiesta es la {hija|daugther},de María. ,menor,singular,femenino,menor,A2
