set,id,before,after,infinitive,correct,level
1,1,Yo,a las siete todos los días.,levantarse,me levanto,A1
1,2,Ella,{antes|before} de {desayunar|to have breakfast}.,ducharse,se ducha,A1
1,3,Yo ,en el lago en verano. ,bañarse,me baño,A1
1,4,El gato,en el suelo. ,estirarse,se estira,A1
1,5,Él ,la barba cada mañana. ,afeitarse,se afeita,A1
2,1,Ellos ,el 15 de abril. ,casarse,se casan,A1
2,2,Para carnaval yo,de bruja. ,disfrazarse,me disfrazo,A1
2,3,Las niñas ,crema en la playa. ,echarse,se echan,A1
2,4,Los niños,los {dientes|teeth} {cada|every} {noche|night}.,cepillarse,se cepillan,A1
2,5,Mañana,en la Universidad. ,graduarse,me gradúo,A1
3,1,El camarero,las manos. ,lavarse,se lava,A1
3,2,Los jefes,en la oficina. ,reunirse,os reunís,A1
3,3,Vosotros ,a una casa nueva. ,mudarse,os mudáis,A1
3,4,El restaurante ,"""El Chiringuito"". ",llamarse,se llama,A1
3,5,Tú y Berta,el pelo cada mañana. ,peinarse,os peináis,A1
4,1,Tú,en la piscina. ,relajarse,te relajas,A1
4,2,Su abuela,mucho para estar sana. ,cuidarse,se cuida,A1
4,3,La ropa,en la terraza. ,secarse,se seca,A1
4,4,Tú ,el jabón a la ducha. ,llevarse,te llevas,A1
4,5,El perro también ,para descansar. ,tumbarse,se tumba,A1
5,1,Mi hija,a las siete de la mañana. ,levantarse,se levanta,A1
5,2,Vosotros,ahora. ,ducharse,os ducháis,A1
5,3,Laura ,el pelo con un peine. ,peinarse,se peina,A1
5,4,Yo también ,el pelo con secador. ,secarse,me seco,A1
5,5,Los niños ,las manos para comer. ,lavarse,se lavan,A1
6,1,Los gatos,porque les gusta. ,estirarse,se estiran,A1
6,2,Creo que él,por la mañana. ,afeitarse,se afeita,A1
6,3,En la playa vosotros,crema de sol. ,echarse,os echáis,A1
6,4,Ustedes,el pelo. ,cepillarse,se cepillan,A1
6,5,La semana próxima yo,.,graduarse,me gradúo,A1
7,1,Este chico también,Manuel. ,llamarse,se llama,A1
7,2,En verano las niñas,en la piscina. ,bañarse,se bañan,A1
7,3,En Halloween yo,de fantasma. ,disfrazarse,me disfrazo,A1
7,4,Sus abuelos,bastante bien. ,cuidarse,se cuidan,A1
7,5,Porque estoy cansada,.,tumbarse,me tumbo,A1
8,1,Sus tíos ,mañana. ,casarse,se casan,A1
8,2,Los médicos,cada día. ,reunirse,se reúnen,A1
8,3,Yo tampoco ,cuando estoy cansado. ,relajarse,me relajo,A1
8,4,Tú y Lara,en estas sillas. ,sentarse,os sentáis,A1
8,5,Esta semana nosotros,de casa. ,mudarse,nos mudamos,A1
1,1,Tú,todo el tiempo en el {espejo|mirror}.,mirarse,te miras,A2
1,2,Nosotros,en estas {sillas|chairs}.,sentarse,nos sentamos,A2
1,3,Tú,mucho del {ruido|noise} de la {calle|street}. ,quejarse,te quejas,A2
1,4,María y yo ,{de camino|on the way} al {trabajo|work} cada {mañana|morning}. ,cruzarse,nos cruzamos,A2
1,5,Tú,el {pelo|hair} con la {toalla|towel}.,secarse,te secas,A2
2,1,Marcos ,para el máster que {estudiará|to study} este año. ,matricularse,se matricula,A2
2,2,Ustedes,porque {empiezan|to start} las {vacaciones|vacation}.,alegrarse,se alegran,A2
2,3,El maestro,de los {alumnos|students} durante el {verano|summer}. ,despedirse,se despide,A2
2,4,Vosotros,las zapatillas para correr. ,cambiarse,os cambiáis,A2
2,5,Los chicos de la {pandilla|gang},en el parque {por la noche|at night}. ,colarse,se cuelan,A2
3,1,"Bueno, yo no ",fácilmente.,cansarse,me canso,A2
3,2,Mis padres ,por las {noticias|neas} en el {mundo|world}. ,interesarse,se interesan,A2
3,3,Los chicos,en la clase de historia. ,aburrirse,se aburren,A2
3,4,,de ir al {cine|movie theater} {hoy|today}.,alegrarse,me alegro,A2
3,5,"Sí, yo también",con las tormentas. ,asustarse,me asusto,A2
4,1,El bebé,mucho {cuando|when} {come|to eat}.,mancharse,se mancha,A2
4,2,Los perros,delante de la chimenea.,tumbarse,se tumban,A2
4,3,Ella,las {gafas|glasses} para ver la televisión.,quitarse,se quita,A2
4,4,Sus padres,bastante de su éxito. ,alegrarse,se alegran,A2
4,5,Cuando tiene {dolor de cabeza|headache} él,en la {cama|bed}.,tumbarse,se tumba,A2
5,1,Yo,demasiado por {todo|everything}.,preocuparse,me preocupo,A2
5,2,Ella,{fácilmente|easily}.,enamorarse,se enamora,A2
5,3,Nosotros,mucho en las {fiestas|parties}.,divertirse,nos divertimos,A2
5,4,Los estudiantes,en las clases {largas|long}.,aburrirse,se aburren,A2
