set,id,before,after,tense,subject,correct,level
1,1,Yo,{estudiante|student}.,presente,yo,soy,A1
1,2,Tú,de México.,presente,tú,eres,A1
1,3,Ella,en la {oficina|office}.,presente,ella,está,A1
1,4,Nosotros,{amigos|friends}.,presente,nosotros,somos,A1
1,5,Vosotros,muy {simpáticos|friendly}.,presente,vosotros,sois,A1
2,1,Ellos,en el {parque|park}.,presente,ellos,están,A1
2,2,Mi padre,{médico|doctor}.,presente,él,es,A1
2,3,Yo,de {Perú|Peru}.,presente,yo,soy,A1
2,4,Ustedes,{profesoras|teachers}.,presente,ustedes,son,A1
2,5,Tú,en casa.,presente,tú,estás,A1
3,1,Nosotras,{hermanas|sisters}.,presente,nosotras,somos,A1
3,2,Vosotros,en la {playa|beach}.,presente,vosotros,estáis,A1
3,3,Mi abuela,muy {mayor|old}.,presente,ella,es,A1
3,4,Yo,en el {gimnasio|gym}.,presente,yo,estoy,A1
3,5,Ella,{enfermera|nurse}.,presente,ella,es,A1
4,1,Ellos,de Irlanda.,presente,ellos,son,A1
4,2,Mi {hermano|brother},médico.,presente,él,es,A1
4,3,El café,muy {frío|cold}.,presente,él,está,A1
4,4,Nosotras,{profesoras|teachers}.,presente,nosotras,somos,A1
4,5,Ellas,{enfermas|sick} hoy.,presente,ellas,están,A1
5,1,Ellas,muy {simpáticas|friendly}. ,presente,ellas,son,A1
5,2,Nosotros ,{camareros|waiters}.,presente,nosotros,somos,A1
5,3,Mi {compañero|colleague},en {paro|unemployed}. ,presente,él,está,A1
5,4,Este ,el {precio|prize} de la {mesa|table}. ,presente,él,es,A1
5,5,Nosotros,en la {farmacia|pharmacy}.,presente,nosotros,estamos,A1
6,1,Tú,muy {simpático|friendly}.,presente,tú,eres,A1
6,2,Su hija ,muy {inteligente|smart}.,presente,ella,es,A1
6,3,Vosotros,en la {playa|beach}.,presente,vosotros,estáis,A1
6,4,Yo ,muy {tímida|shy}.,presente,yo,soy,A1
6,5,Tú ,en clase de español. ,presente,tú,estás,A1
7,1,¿De quién,este {gato|cat}?,presente,él,es,A1
7,2,Yo {también|too},argentino. ,presente,yo,soy,A1
7,3,Tú y yo,en {clase|class}. ,presente,nosotros,estamos,A1
7,4,Yo {vivo|to live} en un {pueblo|town} que,{cerca|near} de un {río|river}. ,presente,él,está,A1
7,5,¿Qué ,esta {cosa|thing}?,presente,ella,es,A1
8,1,Vosotros,muy {simpáticos|friendly}.,presente,vosotros,sois,A1
8,2,"Hoy, la {casa|house} ",muy {limpia|clean}.,presente,ella,está,A1
8,3,Me {gusta|like} mucho cuando,todos en silencio.,presente,vosotros,estáis,A1
8,4,Ustedes,{bienvenidos|welcomed} en mi casa. ,presente,ustedes,son,A1
8,5,Yo,"Marta, ¿y tú?",presente,yo,soy,A1
9,1,{Según|according to} el {reloj|clock},las {tres de la tarde|3pm}.,presente,impersonal,son,A1
9,2,Nostros ahora,en {paro|unemployed}. ,presente,nosotros,estamos,A1
9,3,Este dibujo,muy bien. ,presente,él,está,A1
9,4,¿De dónde ,tú?,presente,tú,eres,A1
9,5,Creo que el español,fácil. ,presente,él,es,A1
10,1,Nosotros,{compañeros|classmates} de clase.,presente,nosotros,somos,A1
10,2,¿Dónde,tú ahora?,presente,tú,estás,A1
10,3,Mi padre,{ingeniero|engineer}.,presente,él,es,A1
10,4,Los niños,en el {colegio|school}.,presente,ellos,están,A1
10,5,Yo,{española|Spanish}.,presente,yo,soy,A1
11,1,Sí ,{posible|possible} ir al {cine|movie theater}. ,presente,él,es,A1
11,2,Vosotros,personas interesantes. ,presente,vosotros,sois,A1
11,3,No {podemos|can} {trabajar|to work} porque,{enfermos|sick}. ,presente,nosotros,estamos,A1
11,4,Yo,en Japón {de viaje|on a trip}. ,presente,yo,estoy,A1
11,5,Las ventanas ,cerradas. ,presente,ellas,están,A1
12,1,,muy buenos {pintores|painters}. ,presente,nosotros,somos,A1
12,2,¿Qué,esto?,presente,él,es,A1
12,3,Vosotros,aquí ahora. ,presente,vosotros,estáis,A1
12,4,Los juegos,temprano. ,presente,ellos,son,A1
12,5,,muy buena con nosotros. ,presente,tú,eres,A1
1,1,Ahora mismo yo,muy {contento|happy}.,presente,yo,estoy,A2
1,2,De niño tú,muy {travieso|mischievous}.,pretérito imperfecto,tú,eras,A2
1,3,Ella,{durmiendo|sleeping} en el sofá.,presente,ella,está,A2
1,4,Nosotros,{estudiantes|students} en esa época.,pretérito imperfecto,nosotros,éramos,A2
1,5,Hoy la sopa,muy {salada|salty}.,presente,ella,está,A2
2,1,Esta mañana yo,en el médico.,pretérito perfecto,yo,he estado,A2
2,2,Vosotros,{cansados|tired} después del partido.,presente,vosotros,estáis,A2
2,3,Mi profesora,muy {paciente|patient}.,presente,ella,es,A2
2,4,Tú,{trabajando|working} toda la tarde.,presente,tú,estás,A2
2,5,"Cuando lo conocí, él",ya {jubilado|retired}.,pretérito imperfecto,él,estaba,A2
3,1,Yo,libre esta tarde.,presente,yo,estoy,A2
3,2,Este año yo,en dos países distintos.,pretérito perfecto,yo,he estado,A2
3,3,Ayer vosotros,muy buenos en la cena.,pretérito indefinido,vosotros,fuisteis,A2
3,4,La casa anteayer,muy {sucia|dirty}.,pretérito imperfecto,ella,estaba,A2
