set,id,correct,also_correct,level
1,1,Mañana yo me levantaré muy temprano.,,B1
1,2,Después del {viaje|trip} nosotros nos ducharemos.,,B1
1,3,Para la boda tú te vestirás muy elegante.,,B1
1,4,Esta noche los niños se acostarán pronto.,,B1
1,5,Ella se peinará delante del {espejo|mirror}.,,B1
2,1,Estoy segura de que vosotros os sentaréis en la primera fila.,,B1
2,2,Con este sol yo me bañaré en la piscina.,,B1
2,3,Para la entrevista ella se maquillará con cuidado.,,B1
2,4,Si pierde el partido él se quejará mucho.,,B1
2,5,El próximo lunes nosotros nos despertaremos antes del {amanecer|dawn}.,,B1
