set,id,before,after,word,translation,level
1,1,Mañana yo,muy temprano para coger el {avión|plane}.,me levantaré,to get up,B1
1,2,Después del {viaje|trip} nosotros,varios días.,nos ducharemos,to shower,B1
1,3,Para la boda tú,muy elegante.,te vestirás,to get dressed,B1
1,4,Esta noche los niños,pronto porque están cansados.,se acostarán,to go to bed,B1
1,5,Ella,delante del {espejo|mirror} antes de salir.,se peinará,to comb one's hair,B1
2,1,Estoy segura de que vosotros,en la primera fila.,os sentaréis,to sit down,B1
2,2,Con este sol yo,en la piscina.,me bañaré,to bathe,B1
2,3,Para la entrevista ella,con cuidado.,se maquillará,to put on makeup,B1
2,4,Si pierde el partido él,mucho.,se quejará,to complain,B1
2,5,El próximo lunes nosotros,antes del {amanecer|dawn}.,nos despertaremos,to wake up,B1
