set,id,before,after,option_a,option_b,correct,level
1,1,{Trabajo|work} mucho,ganar {dinero|money}.,por,para,para,A1
1,2,Pasé,tu {casa|house} esta mañana.,por,para,por,A1
1,3,{Camina|walk} siempre,la derecha.,por,para,por,A1
1,4,La {lluvia|rain} es buena,el campo.,por,para,para,A1
1,5,Estas {frutas|fruits} son,ti.,por,para,para,A1
1,1,Debemos {madrugar|get up early},llegar temprano.,por,para,para,A2
1,2,{Pregunto|ask} a mi madre,mis {hermanos|siblings}.,por,para,por,A2
1,3,Me {gusta|like} mucho,su color.,por,para,por,A2
1,4,Están contentos,la {victoria|winning} de su {equipo|team}.,por,para,por,A2
1,5,Este {aparato|machine} es,hacer ejercicio.,por,para,para,A2
1,1,Él hace todo ,{amor|love} hacia sus hijos. ,por,para,por,B1
1,2,La casa estaba {en venta|on sale},problemas con los {vecinos|neighbors}.,por,para,por,B1
1,3,Estudié mucho,{aprobar|pass} el {examen|test} rápido.,por,para,para,B1
1,4,Pusieron un {cubo|bucket} con agua,que el perro {bebiese|drink} agua.,por,para,para,B1
1,5,La {tienda|store} solo abría,la mañana.,por,para,por,B1
1,1,La clínica abrió,{ayudar|help} a los niños {enfermos|sick}.,por,para,para,B2
1,2,Hacía mucho {calor|heat} en la cocina,{culpa|fault} del {horno|oven}.,por,para,por,B2
1,3,Estos ejercicios son,{mejorar|improve} mi español.,por,para,para,B2
1,4,Si fuera ,"mi, yo ya estaría en la {playa|beach}. ",por,para,por,B2
1,5,He {comprado|bought} esta {mesa|table},que los niños estudien.,por,para,para,B2
