set,id,correct,also_correct,level
1,1,Mañana yo hablaré con mis {compañeros|classmates} sobre el proyecto.,,B1
1,2,El próximo verano nosotros viajaremos a la playa.,,B1
1,3,Cuando llegue el invierno tú pasarás mucho frío.,,B1
1,4,Estoy segura de que ellos aprobarán el examen.,,B1
1,5,Si sigues así terminarás muy pronto el proyecto.,,B1
2,1,El año que viene vosotros compraréis una nueva casa.,,B1
2,2,Para su cumpleaños yo le regalaré un {regalo|gift} especial.,,B1
2,3,Con este calor las plantas necesitarán mucha {agua|water}.,,B1
2,4,Después de la reunión nosotros revisaremos el informe juntos.,,B1
2,5,Estoy convencido de que ella conseguirá el {puesto|position}.,,B1
