set,id,before,after,infinitive,correct,level
1,1,Yo,español todos los {días|days}.,hablar,hablo,A1
1,2,Ella,en Madrid.,vivir,vive,A1
1,3,Su {perro|dog},muy {deprisa|fast}.,correr,corre,A1
1,4,Tú,muy {despacio|slow}.,caminar,caminas,A1
1,5,Ustedes,con muy poco {equipaje|luggage}.,viajar,viajan,A1
2,1,Él,en una oficina {pequeña|small}.,trabajar,trabaja,A1
2,2,Yo,el {pan|bread} en esta {tienda|store}.,comprar,compro,A1
2,3,Nosotros,este museo cada {año|year}.,visitar,visitamos,A1
2,4,Manuel,todos los días a su {madre|mother}. ,llamar,llama,A1
2,5,Vosotros,{demasiado|too} {alto|loud}.,cantar,cantáis,A1
3,1,Los niños ,las {luces|lights} a las ocho. ,apagar,apagan,A1
3,2,Me gusta cuando yo,{huevos|eggs}. ,comer,como,A1
3,3,Lara y Juan,la pizza para todos. ,cortar,cortan,A1
3,4,Ellos,el {horario|schedule} del tren. ,cambiar,cambian,A1
3,5,Las abogadas,todos los {gastos|spends}.,sumar,suman,A1
4,1,Ahora nosotros,las {toallas|towels} con jabón. ,lavar,lavamos,A1
4,2,Los jardineros,hoy los {árboles|trees}. ,podar,podan,A1
4,3,Las plantas,más agua. ,necesitar,necesitan,A1
4,4,Tú y yo ,el piano {juntas|together}. ,tocar,tocamos,A1
4,5,Todas las primaveras nosotros,por el {campo|field}. ,pasear,paseamos,A1
5,1,Cada día ustedes,unas {comidas|foods} deliciosas. ,preparar,preparan,A1
5,2,Los cantantes,felices al {público|audience}. ,mirar,miran,A1
5,3,Hoy voy a ,el {periódico|newspaper} por la mañana. ,leer,leer,A1
5,4,Creo que vosotros,en esta {sala|room}. ,votar,votáis,A1
5,5,Carolina y tú,muy {deprisa|fast}. ,hablar,habláis,A1
6,1,Marian ,en el agua de la {piscina|swimming pool}. ,flotar,flota,A1
6,2,Mi primo ,montañas altas. ,escalar,escala,A1
6,3,El domador,al león. ,domar,doma,A1
6,4,La cocinera,{manzanas|apples} para el postre. ,asar,asa,A1
6,5,Luis,las {escaleras|stairs} muy rápido. ,bajar,baja,A1
1,1,Ellos,las {escaleras|stairs} {a pie|on foot}.,subir,suben,A2
1,2,En la oficina todos,de {trabajar|to work} a las cinco. ,terminar,terminan,A2
