set,id,before,after,word,translation,level
1,1,Este {verano|summer} nosotros,muy poco tiempo libre.,tendremos,to have,B1
1,2,Estoy seguro de que ella,la mesa en el {salón|living room}.,pondrá,to put,B1
1,3,Mañana yo,de casa muy temprano.,saldré,to leave,B1
1,4,El próximo mes ellos,a visitarnos.,vendrán,to come,B1
1,5,Nadie sabe qué,el jefe sobre el {cambio|change}.,dirá,to say,B1
2,1,Con esfuerzo tú,resolver el problema.,podrás,to be able to,B1
2,2,Estoy convencido de que vosotros,la respuesta correcta.,sabréis,to know,B1
2,3,Ella,quedarse un poco más.,querrá,to want,B1
2,4,Para el viernes ya,terminado el {informe|report}.,habré,to have (aux.),B1
2,5,Con esa receta la cena,deliciosa.,estará,to be,B1
