set,id,before,after,word,translation,level
1,1,Ellos,de Irlanda.,son,are,A1
1,2,Mi {hermano|brother},médico.,es,is,A1
1,3,El café,muy {frío|cold}.,está,is,A1
1,4,Nosotras,{profesoras|teachers}.,somos,are,A1
1,5,Ellas,{enferma|sick} hoy.,están,are,A1
2,1,Ellas,muy {simpáticas|friendly}. ,son,are,A1
2,2,Nosotros ,{camareros|waiters}.,somos,are,A1
2,3,Mi {compañero|colleague},en {paro|unemployed}. ,está,is,A1
2,4,Este ,el {precio|prize} de la {mesa|table}. ,es,is,A1
2,5,Nosotros,en la {farmacia|pharmacy}.,estamos,are,A1
3,1,Tú,muy {simpático|friendly}.,eres,are,A1
3,2,Su hija ,muy {inteligente|smart}.,es,is,A1
3,3,Vosotros,en la {playa|beach}.,estáis,are,A1
3,4,Yo ,muy {tímida|shy}.,soy,am,A1
3,5,Tú ,en clase de español. ,estás,are,A1
4,1,¿De quién es,este {gato|cat}?,es,is,A1
4,2,Yo {también|too},argentino. ,soy,am,A1
4,3,Tú y yo,en {clase|class}. ,estamos,are,A1
4,4,Yo {vivo|to live} en un {pueblo|town} que,{cerca|near} de un {río|river}. ,está,is,A1
4,5,¿Qué ,esta {cosa|thing}?,es,is,A1
1,1,Los {actores|actors},{nerviosos|nervous} por la {obra de treatro|performance}. ,están,are,A2
1,2,Luis,{hijo único|an only child}. ,es,is,A2
1,3,Las {periodistas|journalists},{presentadoras|hosts} del programa de noche. ,son,are,A2
1,4,Su {cara|face} ,muy {sucia|dirty}. ,está,is,A2
1,5,Los {vecinos|neighbords} ,{de visita|visiting}. ,están,are,A2
1,6,¡Qué interesantes,estos museos!,son,are,A2
2,1,Ella ,{optimista|optimistic}. ,es,is,A2
2,2,Nosotros,más {cansados|tired} que vosotros.,estamos,are,A2
2,3,Vosotros,{cerca|near} de la {estación|station}.,estáis,are,A2
2,4,Los {vecinos|neighbords} ,de Turquía.,son,are,A2
2,5,Nosotros,como {nuestro|our} padre.,somos,are,A2
