set,id,before,after,infinitive,correct,level
1,1,Yo,mucho antes de {decidir|deciding}.,pensar,pienso,A2
1,2,Ella,la {puerta|door} con llave.,cerrar,cierra,A2
1,3,Nosotros,tarde los {viernes|Fridays}.,volver,volvemos,A2
1,4,Ellos,{ayuda|help} cuando la necesitan.,pedir,piden,A2
1,5,Julián y tú ,tarta a los niños. ,dar,dais,A2
2,1,Yo,al {gimnasio|gym} todos los días.,ir,voy,A2
2,2,Usted,siempre la {verdad|truth}.,decir,dice,A2
2,3,Nosotros,buenos {amigos|friends}.,ser,somos,A2
2,4,Vosotros,la televisión por la {noche|night}.,ver,veis,A2
2,5,Ellos,una {casa|house} nueva.,construir,construyen,A2
3,1,Ahora yo,los {huevos|eggs} para la {dinner|cena}. ,freir,frío,A2
3,2,Cada mañana yo,pan para el {desayuno|breakfast}. ,tostar,tuesto,A2
3,3,Todos vosotros,muy mal después del {partido|game}.,oler,oléis,A2
3,4,¿Ustedes,venir al {cine|movie theater} con nosotros?,querer,quieren,A2
3,5,Estos árboles,durante la {primavera|spring}. ,florecer,florecen,A2
4,1,La {película|movie},a las ocho. ,empezar,empieza,A2
4,2,Nosotros,el lugar de {destino|destination}. ,desconocer,desconocemos,A2
4,3,Vosotros ,todas las {preguntas|questions}.,acertar,acertáis,A2
4,4,Los libros en esta {librería|book store},poco {dinero|money}. ,costar,cuestan,A2
4,5,Yo no,las {llaves|keys} de mi casa. ,encontrar,encuentro,A2
5,1,Por las tardes María,de {canguro|babysitter}. ,hacer,hace,A2
5,2,Mañana le ,las {llaves|keys} a tu hermano. ,dar,doy,A2
5,3,En vuestro {tiempo libre|free time},por {carreteras|roads} secundarias. ,conducir,conducís,A2
5,4,Me gusta mucho pero no,más. ,querer,quiero,A2
5,5,No recuerdo si tú ,mañana a comer. ,venir,vienes,A2
6,1,¿Vosotros,{hablar|to speak} inglés?,saber,sabéis,A2
6,2,"Esta parte del país es nueva para mi, no la ",.,conocer,conozco,A2
6,3,Yo ya,todo lo que {necesito|to need}. ,tener,tengo,A2
6,4,Quizás los niños ,en el parque. ,jugar,juegan,A2
6,5,El tío ,la {cuna|cradle} donde duerme el bebé. ,mecer,mece,A2
7,1,Ella,mucho a sus {padres|parents}.,querer,quiere,A2
7,2,Ustedes,en esta {habitación|room}.,dormir,duermen,A2
7,3,Yo,de {casa|home} a las siete de la {mañana|morning}.,salir,salgo,A2
7,4,En esta {cocina|kitchen},muy bien.,oler,huele,A2
7,5,Ellos,su {coche|car} para ir a {trabajar|to work}.,conducir,conducen,A2
8,1,Yo,{cocinar|to cook} muy bien.,saber,sé,A2
8,2,¿Tú,venir {mañana|tomorrow} a casa?,poder,puedes,A2
8,3,Cada día yo,café para todos. ,hacer,hago,A2
8,4,Tú siempre,la ventana temprano. ,abrir,abres,A2
8,5,Vosotros ,en la {habitación|room} del {fondo|in the back}. ,dormir,dormís,A2
9,1,En el {parque|park} los chicos y yo,muchos kilómetros.,andar,andamos,A2
9,2,El hotel ,{dinero|money} durante el {invierno|winter}.,perder,pierde ,A2
9,3,Nosotros,los {coches|cars} al pasar {cerca|near} de la {ventana|window}. ,sentir,sentimos,A2
9,4,Él,que {traer|to bring} la {tarta|cake}.,tener,tiene,A2
9,5,Todos nosotros,en el {autobús|bus}.,caber,cabemos,A2
10,1,Ellos,{jugar|to play} en el campo al {aire libre|outdoors}.,preferir,prefieren,A2
10,2,Vosotros ,siempre en el {mejor|best} momento.,venir,venís,A2
10,3,Los alumnos,al fútbol aunque {llueva|to rain}. ,jugar,juegan,A2
10,4,Tú y Lucas ,la chaqueta en este armario. ,colgar,colgáis,A2
10,5,Todos los estudiantes,el problema de matemáticas. ,resolver,resuelven,A2
11,1,Yo no ,{quién|who} está en la {lista|list}. ,elegir,elijo,A2
11,2,La {abogada|lawyer},a todas las personas en el {juzgado|court}. ,conocer,conoce,A2
11,3,Esta noche,en la montaña. ,nevar,nieva,A2
11,4,Su {abrigo|coat},más que el mío. ,costar,cuesta,A2
11,5,No,"tiempo, ni dinero. ",tener,tengo,A2
12,1,Mañana vosotros,aquí a la misma hora. ,volver,volvéis,A2
12,2,"Tú eres muy bueno, ",mucho. ,valer,vales,A2
12,3,Eva y tú siempre,comer {tortilla|omelet} de patata. ,querer,queréis,A2
12,4,No sé lo que tú,en las clases de alemán. ,hacer,haces,A2
12,5,Me gustas porque siempre,la {verdad|truth}. ,decir,dices,A2
1,1,Allá lejos puedes ver como,en las {montañas|mountains}. ,nevar,nieva,B1
1,2,Tú,las instrucciones {al pie de la letra|word by word}.,seguir,sigues,B1
1,3,La luz del horno,{demasiado|too much}. ,lucir,luce,B1
1,4,El {lavavajillas|dishwasher} no funciona por lo que Daniela y yo,cenar fuera. ,elegir,elegimos,B1
1,5,Tiene tantas novelas históricas que no,en la estantería. ,caber,caben,B1
2,1,El perro,los {huesos|bones} como si fueran un {tesoro|treasure}. ,enterrar,entierra,B1
2,2,"Hoy tengo tiempo, por lo que ",a los dardos con amigos. ,jugar,juego,B1
2,3,Los alumnos ,haber {copiado|to copy} en el examen. ,negar,niegan,B1
