set,id,correct,also_correct,level
1,1,Este verano nosotros tendremos muy poco {tiempo|time} libre.,,B1
1,2,Estoy segura de que ella pondrá la mesa.,,B1
1,3,Mañana yo saldré de casa muy temprano.,,B1
1,4,El próximo mes ellos vendrán a visitarnos.,,B1
1,5,Nadie sabe qué dirá el jefe sobre el {cambio|change}.,,B1
2,1,Con esfuerzo tú podrás resolver el problema.,,B1
2,2,Estoy convencido de que vosotros sabréis la respuesta.,,B1
2,3,Ella querrá quedarse un poco más.,,B1
2,4,Para el viernes ya habré terminado el {informe|report}.,,B1
2,5,Con esa receta la cena estará deliciosa.,,B1
