set,id,before,after,option_a,option_b,correct,level
1,1,Nosotros,{turistas|tourists} y visitamos España.,somos,estamos,somos,A1
1,2,Sus padres,de vacaciones.,están,son,están,A1
1,3,Ella,profesora de {infantil|kindergarden}. ,está,es,es,A1
1,4,Mi abuela,de Argentina.,es,está,es,A1
1,5,Vosotros,muy {simpáticos|friendly}.,estáis,sois,sois,A1
2,1,Ella,una niña muy {alta|tall}.,es,está,es,A1
2,2,Nosotros,interesados en este {tema|subject}. ,estamos,somos,estamos,A1
2,3,Mi actriz favorita,Penélope Cruz.,está,es,es,A1
2,4,Las dos casas,muy grandes.,están,son,son,A1
2,5,Las bicicletas,muy {rotas|broken}.,están,son,están,A1
3,1,¿Tú,el {enfermero|nurse} de esta {planta|floor}?,estás,eres,eres,A1
3,2,Su {vuelo|flight},{retrasado|delayed} una hora. ,está,es,está,A1
3,3,Mi {prima|cousin},{abogada|lawyer}.,está,es,es,A1
3,4,Su {maestra|teacher},{bastante|enough} profesional.,está,es,es,A1
3,5,Nosotros,alemanes de Múnich.,somos,estamos,somos,A1
4,1,Javier ,de Ecuador. ,es,está,es,A1
4,2,La foto,en la {playa|beach}. ,está,es,es,A1
4,3,Las {ciudades|cities},muy bonitas.,son,están,son,A1
4,4,Ahí,la silla. ,es,está,está,A1
4,5,Estos  ,nosotros. ,estamos,somos,somos,A1
1,1,Ella,hoy muy {cansada|tired}.,es,está,está,A2
1,2,,muy contento porque no {llueve|rains}.,Soy,Estoy,Estoy,A2
1,3,Mi casa,en un {barrio|neighborhood} viejo.,es,está,está,A2
1,4,La comida hoy,muy rica.,es,está,está,A2
1,5,Cada día,más contento.,soy,estoy,estoy,A2
2,1,Esa mujer de allí,{famosa|famous}.,está,es,es,A2
2,2,Tenemos que ,{despiertos|woken up} a las cinco. ,ser,estar,estar,A2
2,3,¿,de {paseo|walk} por el parque?,Sois,Estáis,Estáis,A2
2,4,Mañana voy a ,en casa a las seis. ,estar,ser,estar,A2
2,5,Ella,muy {amable|nice} conmigo.,es,está,es,A2
3,1,La playa ,vacía a {primera|first} hora. ,es,está,está,A2
3,2,Nostros,estamos despiertos a las siete.,somos,estamos,estamos,A2
3,3,Yo,{sediento|thirsty} {después|after} del {ejercicio|exercise}.,soy,estoy,estoy,A2
3,4,Las {cosas|things} nunca,como {parecen|seem}.,son,están,son,A2
3,5,Usted,muy {agradable|nice} con los niños.,está,es,es,A2
4,1,La Coruña,en Galicia. ,es,está,está,A2
4,2,El azul,mi color {favorito|favorite}. ,está,es,es,A2
4,3,Los {lunes|mondays} ,días especiales. ,son,están,son,A2
4,4,Estos {perros|dogs},tan inteligentes como estos otros. ,están,son,son,A2
4,5,El {agua|water} del {mar|sea},hoy muy {limpia|clean}. ,es,está,está,A2
1,1,Nosotros,la mayoría. ,estamos,somos,somos,B1
1,2,Dos y dos,cuatro. ,están,son,son,B1
1,3,,de noche. ,está,es,es,B1
1,4,Ella ,de {enfermera|nurse} en mi centro médico. ,es,está,está,B1
1,5,,demasiado tarde para ir al cine. ,es,está,es,B1
2,1,Con este folio la tarea,fácil. ,es,está,es,B1
2,2,Esta noche,de canguro. ,soy,estoy,estoy,B1
2,3,Esta alfombra,de mucha utilidad. ,está,es,es,B1
2,4,En el mes de julio,de vacaciones. ,seremos,estaremos,estaremos,B1
2,5,Cuando,"listo, me llamas. ",seas,estés,estés,B1
3,1,Mi hermano,muy {aburrido|boring} cuando no tiene nada que hacer.,es,está,está,B1
3,2,Este libro,bastante {aburrido|boring}.,es,está,es,B1
3,3,El pescado,muy {rico|tasty} hoy.,es,está,está,B1
3,4,Mi tío,"{rico|rich}, tiene tres casas.",es,está,es,B1
3,5,"Cuando llegamos, la tienda ya",cerrada.,era,estaba,estaba,B1
4,1,Los Pirineos,en el Norte de España. ,son,están,están,B1
4,2,La guía,muy preparada. ,está,es,está,B1
4,3,La película,buenísima. ,es,está,es,B1
4,4,Un café {por la noche|at night},una mala idea. ,está,es,es,B1
4,5,Los libros grandes,mis favoritos para leer por las noches. ,están,son,son,B1
1,1,Él,muy delgado desde el verano pasado. ,es,está,está,B2
1,2,Voy contigo a no,que no quieras.,estar,ser,ser,B2
1,3,La reunión tiene que,sí o sí el jueves. ,estar,ser,ser,B2
1,4,,suficientes para empujar el coche y que arranque. ,somos,estamos,somos,B2
1,5,Ellos,tan capaces como cualquiera. ,estan,son,son,B2
2,1,Ganas la partida y,la campeona. ,eres,estás,eres,B2
2,2,,de noche cuando llegues. ,estará,será,será,B2
2,3,Sin la grapadora,perdida. ,estás,eres,estás,B2
2,4,Con esas bufandas claramente,del Sporting de Gijón. ,son,están,son,B2
2,5,Dijo que ,preparado a las cinco. ,sería,estaría,estaría,B2
3,1,El puente,construido en 1920.,fue,estuvo,fue,B2
3,2,Todo,ya {listo|ready} cuando llegamos.,era,estaba,estaba,B2
3,3,Mi abuelo,"muy {listo|clever}, sabe resolver cualquier problema.",es,está,es,B2
3,4,La cena,preparada por el chef principal.,fue,estuvo,fue,B2
3,5,Cuando volvimos,la puerta ya {cerrada|closed} con llave.,era,estaba,estaba,B2
4,1,Las ciudades por la noche,muy bien iluminada. ,están,son,están,B2
4,2,Los maniquíes,tan feos que no animaban a comprar. ,eran,estaban,eran,B2
4,3,El cielo,grisáceo y parece que va a llover. ,es,está,está,B2
4,4,El chocolate que quiero,extrafino. ,está,es,es,B2
4,5,Lo bueno ,que también podéis venir. ,es,está,es,B2
