set,id,before,after,word,translation,level
1,1,Yo,{tarde|late} {ayer|yesterday}.,me desperté,to wake up,A2
1,2,Ellos,mucho en la {playa|beach}.,se broncearon,to tan,A2
1,3,Ella ,muy {simpática|friendly} con el {tiempo|time}. ,se volvió,to come back,A2
1,4,Los estudiantes,para el master el {primer|first} día. ,se inscribieron,to sign in,A2
1,5,Vosotros ,{demasiado|too} {temprano|early}. ,os fuisteis,to leave,A2
2,1,Ustedes nunca,de {venir|to come} a la {fiesta|party}.,se arrepintieron,to regret,A2
2,2,Los {amigos|friends},en un {campamento|camp}.,se conocieron,to meet,A2
2,3,Los dinosaurios,hace mucho {tiempo|time}. ,se extinguieron,to extinguish,A2
2,4,Los niños pequeños,{fácilmente|easily} con las fotos. ,se impresionaban,to be impressed,A2
2,5,Tú,{ayer|yesterday} a una buena {hora|time}. ,te levantaste,to get up,A2
3,1,El {cartero|postman},las {cartas|letters} con la {dirección|address} {equivocada|wrong}. ,se llevó,to take,A2
3,2,El {camino|path},a los 10 km. ,se bifurcaba,to branch,A2
3,3,Los {perros|dogs} ,muy bien durante la {visita|visit}. ,se portaron,to behave,A2
3,4,La {serpiente|snake},{sobre|over} {sí misma|itself}. ,se enrosca,to curl,A2
3,5,{Después|after} del baño ella,el {pelo|hair} con el {secador|hairdryer}. ,se secó,to dry,A2
4,1,La {jueza|judge},de todos los {casos|cases} {a la vez|at the same time}. ,se ocupaba,to attend to,A2
4,2,Vosotros,de {viaje|trip} en agosto. ,os marchasteis,to leave,A2
4,3,Vosotros,con el {ciclo de cine|film series}. ,os entusiasmasteis,to get excited,A2
4,4,En el {campamento|camp} los niños,cada {mañana|morning}. ,se duchaban,to shower,A2
4,5,Yo,con {pasar|to pass} el {examen|test}. ,me conformaba,to conform,A2
