set,id,before,after,word,translation,level
1,1,Yo,la {ventana|window} {anoche|last night}.,cerré,to close,A2
1,2,Tú,mucho la {semana|week} {pasada|last}.,estudiaste,to study,A2
1,3,Ayer vosotros,mucho {agua|water}. ,bebisteis,to drink,A2
1,4,Cuando era niña ella,con una {voz|voice} muy {bonita|beautiful}.,cantaba,to sing,A2
1,5,Su padre,la {compañía|company} en los años {noventa|nineties}.,fundó,to found,A2
2,1,En mi {colegio de primaria|elementary school} mi maestra,siempre {tarde|late}. ,llegaba,to arrive,A2
2,2,De {joven|young} mi {abuelo|grandfather},en un {pueblo|village} en la {montaña|mountain}. ,vivía,to live,A2
2,3,En la {cena|dinner} del {viernes|Friday} vosotros,muy buena {comida|food}. ,ordenasteis,to order,A2
2,4,Ustedes,las {paredes|walls} del hotel de colores muy {vivos|vivid}. ,pintaron,to paint,A2
2,5,El niño ,al {gato|cat} del {fuego|fire}. ,salvó,to save,A2
3,1,En mi {clase|class} de ballet yo siempre,{zapatillas|shoes} negras. ,usaba,to use,A2
3,2,Durante el {verano|summer} mi {hermana|sister},{tostadas|toasts} con {aceite|oil}.,desayunaba,to have breakfast,A2
3,3,El otro día el policía los ,a ellos por ir demasiado {rápido|fast}. ,multó,to fine,A2
3,4,{Anoche|last night} por fin yo,muy bien en la {cama|bed} {nueva|new}. ,descansé,to rest,A2
3,5,Para {carnaval|carnival} él,no {disfrazarse|to dress up}. ,decidió,to decide,A2
4,1,Los {carpinteros|carpenters},muchos clavos en la {estantería|bookshelf}.,clavaron,to nail,A2
4,2,Todos los yogures,al día {siguiente|next} de {comprarlos|to buy}. ,caducaban,to expire,A2
4,3,Los {libros|books} estaban muy {limpios|clean} y,,brillaban,to shine,A2
4,4,Sus padres,los {juguetes|tiys} dentro del {mueble|piece of furniture}. ,colocaron,to place,A2
4,5,En el {campamento|camp} ,{patatas fritas|fries} todos los días. ,comíamos,to eat,A2
5,1,,"bastante en la reunión, mis jefes están contento. ",he hablado,to speak,A2
5,2,Sus padres ,en Madrid cuando él nació. ,vivían,to live,A2
5,3,Ayer ,5 km y hoy estoy cansado. ,corrí,to run,A2
5,4,Sus abuelos,durante toda su vida. ,han viajado,to travel,A2
5,5,El otro día,"desde el trabajo al metro, fue un paseo agradable. ",caminé,to walk,A2
6,1,Esta semana,mucho y te mereces un descanso. ,has trabajado,to work,A2
6,2,La camisa que,ayer es pequeña. ,compraste,to buy,A2
6,3,Estoy segura de que ,este lugar antes. ,he visitado,to visit,A2
6,4,El otro día,a tu mamá por su cumpleaños pero no estaba.,llamé,to call,A2
6,5,"Qué maravilla, ",muy bien esta mañana durante el festival. ,has cantado,to sing,A2
7,1,Los funcionarios,ya las luces del polideportivo. ,han apagado,to turn off,A2
7,2,Dime dónde,ayer y si os gustó la comida. ,comisteis,to eat,A2
7,3,Los novios,la tarta juntos el día de su boda. ,cortaron,to cut,A2
7,4,"¡Desde que no os veo, ",mucho!,habéis cambiado,to change,A2
7,5,"Después del partido, los jugadores",todos los gastos de la merienda. ,sumaron,to add up,A2
8,1,Ya,lavado la lechuga para la cena de hoy. ,he lavado,to wash,A2
8,2,¿Recuerdas cuando,el olivo el año pasado?,podaste,to prune,A2
8,3,Para abrir la fábrica,mucha ayuda. ,necesité,to need,A2
8,4,Todavía no,"en la academia de música, pero pronto. ",has tocado,to play,A2
8,5,Ayer ,un helado de vainilla muy rico. ,preparaste,to prepare,A2
9,1,En el pueblo los abuelos,cada día por la calle principal. ,paseaban,to walk,A2
9,2,Los dos,"por todas partes, pero no lo encuentran. ",han mirado,to look for,A2
9,3,Durante el curso,muchos libros de aventuras. ,han leído,to read,A2
9,4,El año pasado no,porque no estaban en España. ,votaron,to vote,A2
9,5,"Están contentos, quizá ",una buena noticia. ,han recibido,to get,A2
1,1,,tantos libros toda mi vida. ,he leído,to read,B1
1,2,Lo,en la pizarra en cuanto llegué a clase. ,escribí,to write,B1
1,3,Hace una hora que,el almuerzo. ,ha comido,to eat,B1
1,4,Dijo que ,la casa todos los días. ,limpiaba,to clean,B1
1,5,Ayer,"durante toda la noche, era música muy buena. ",bailé,to dance,B1
2,1,Cuando llegamos ya,el mensaje electrónico. ,habían mandado,to send,B1
2,2,"Cuando llegué, ",música muy alta. ,escuchaba,to listen,B1
2,3,Por las obras,la calle toda la semana. ,cortaron,to block off,B1
2,4,Nunca,una oferta de trabajo en esta empresa. ,he preparado,to prepare,B1
2,5,Estaba esperando y justo,el correo. ,recibí,to receive,B1
1,1,¿Cómo,todas vuestras críticas a encontrar una solución?,ayudaban,to help,B2
1,2,,"tomar una decisión en la reunión, pero no lo hicieron. ",habían decidido,to decide,B2
1,3,,ya demasiado tiempo en esta crónica. ,hemos gastado,to spend,B2
1,4,De niños jugamos a que,gatos y perros callejeros. ,rescatábamos,to rescue,B2
1,5,Soñé que,la gargantilla de oro. ,buscábamos,to look for,B2
