set,id,before,after,infinitive,tense,correct,translation,level
1,1,Mañana yo,muy temprano para coger el {avión|plane}.,levantarse,futuro simple,me levantaré,to get up,B1
1,2,Después del {viaje|trip} nosotros,varios días.,ducharse,futuro simple,nos ducharemos,to shower,B1
1,3,Para la boda tú,muy elegante.,vestirse,futuro simple,te vestirás,to get dressed,B1
1,4,Esta noche los niños,pronto porque están cansados.,acostarse,futuro simple,se acostarán,to go to bed,B1
1,5,Ella,delante del {espejo|mirror} antes de salir.,peinarse,futuro simple,se peinará,to comb one's hair,B1
2,1,Estoy segura de que vosotros,en la primera fila.,sentarse,futuro simple,os sentaréis,to sit down,B1
2,2,Con este sol yo,en la piscina.,bañarse,futuro simple,me bañaré,to bathe,B1
2,3,Para la entrevista ella,con cuidado.,maquillarse,futuro simple,se maquillará,to put on makeup,B1
2,4,Si pierde el partido él,mucho.,quejarse,futuro simple,se quejará,to complain,B1
2,5,El próximo lunes nosotros,antes del {amanecer|dawn}.,despertarse,futuro simple,nos despertaremos,to wake up,B1
